"province";"sex";"nationality";"age";"house_size";"type_contract";"single";"married";"separated";"widowed";"divorced";"edu0";"edu1";"edu2";"edu3";"eq_house_disp_inc";"house_cost"
12;1;1;60;3;1;0;1;0;0;0;0;0;1;0;25573;256
12;1;1;57;4;1;0;1;0;0;0;0;0;1;0;16775,6;463
12;1;1;63;2;1;0;1;0;0;0;0;0;0;1;23854,66667;358
12;1;1;42;3;1;0;1;0;0;0;0;0;1;0;11857,22222;328
12;1;1;67;1;1;0;0;0;1;0;0;1;0;0;1145;50
12;1;1;65;3;1;0;1;0;0;0;0;0;0;1;26887,5;208
12;1;1;76;2;1;0;1;0;0;0;0;1;0;0;19009,33333;161
12;1;1;77;2;1;0;1;0;0;0;0;1;0;0;13763,33333;145
12;1;1;70;2;1;0;1;0;0;0;0;0;1;0;10816;288
12;1;1;71;2;1;0;1;0;0;0;0;0;0;1;26692;274
12;1;1;45;2;1;0;1;0;0;0;0;1;0;0;2680;498
12;0;1;41;2;1;0;0;0;1;0;0;0;0;1;29973,84615;623
12;1;1;71;2;1;0;1;0;0;0;0;1;0;0;13909,33333;242
12;1;1;44;3;0;0;1;0;0;0;0;1;0;0;16468,5;205
12;1;1;57;4;1;0;1;0;0;0;0;0;1;0;17863,91304;729
12;0;1;56;2;1;0;0;0;0;1;0;0;1;0;13090,66667;501
12;0;1;46;1;1;0;0;0;0;1;0;0;1;0;25295;349
12;1;1;34;3;1;0;1;0;0;0;0;0;1;0;19072,22222;206
12;0;1;49;2;1;1;0;0;0;0;0;0;1;0;19769,23077;223
12;1;1;42;4;1;0;1;0;0;0;0;0;1;0;28618,57143;247
12;1;1;71;2;1;0;1;0;0;0;0;1;0;0;13378;235
12;1;1;73;2;1;0;1;0;0;0;0;0;1;0;22216;638
12;0;1;59;2;0;0;0;0;1;0;0;1;0;0;29348,66667;291
12;0;1;69;3;1;0;0;0;0;1;0;1;0;0;10105,55556;503
12;1;1;49;3;1;0;1;0;0;0;0;0;1;0;32068;264
12;0;1;81;1;0;0;0;0;1;0;1;0;0;0;19526;378
12;1;1;49;1;1;0;1;0;0;0;0;0;1;0;7995;42
12;0;0;36;2;0;0;0;0;0;1;0;1;0;0;7835,333333;499
12;1;1;48;3;1;0;1;0;0;0;0;1;0;0;16887,22222;992
12;1;1;46;4;1;0;1;0;0;0;0;0;1;0;9013,478261;281
12;0;1;56;2;1;1;0;0;0;0;0;0;1;0;14928;320
12;1;1;55;3;1;0;1;0;0;0;0;0;1;0;20430;253
12;1;1;74;2;1;1;0;0;0;0;0;1;0;0;12376,66667;169
12;1;1;75;3;1;0;1;0;0;0;0;1;0;0;16068,5;275
12;1;1;56;2;1;0;1;0;0;0;0;0;1;0;29401,33333;500
