"group";"sex";"nationality";"age";"house_size";"A";"single";"married";"separated";"widowed";"divorced";"edu0";"edu1";"edu2";"edu3";"y";"p_score"
12;1;1;60;3;1;0;1;0;0;0;0;0;1;0;10,1492923863934;0,968867663906333
12;1;1;57;4;1;0;1;0;0;0;0;0;1;0;9,72768072871142;0,965569266332095
12;1;1;63;2;1;0;1;0;0;0;0;0;0;1;10,0797351446813;0,972062617210955
12;1;1;42;3;1;0;1;0;0;0;0;0;1;0;9,38069243095403;0,930465077674435
12;1;1;67;1;1;0;0;0;1;0;0;1;0;0;7,04315991598834;0,896486532099978
12;1;1;65;3;1;0;1;0;0;0;0;0;0;1;10,199416773576;0,975392611861543
12;1;1;76;2;1;0;1;0;0;0;0;1;0;0;9,85268536543039;0,959173698506724
12;1;1;77;2;1;0;1;0;0;0;0;1;0;0;9,52976332996984;0,960970876316069
12;1;1;70;2;1;0;1;0;0;0;0;0;1;0;9,28878179828274;0,979572334064303
12;1;1;71;2;1;0;1;0;0;0;0;0;0;1;10,1921191740235;0,980632037597611
12;1;1;45;2;1;0;1;0;0;0;0;1;0;0;7,8935720735049;0,845945183669736
12;0;1;41;2;1;0;0;0;1;0;0;0;0;1;10,30808048541;0,784146719178304
12;1;1;71;2;1;0;1;0;0;0;0;1;0;0;9,54031535637857;0,948937575246542
12;1;1;44;3;0;0;1;0;0;0;0;1;0;0;9,7092047443429;0,844593861870785
12;1;1;57;4;1;0;1;0;0;0;0;0;1;0;9,79053792561742;0,965569266332095
12;0;1;56;2;1;0;0;0;0;1;0;0;1;0;9,47965478732441;0,957602554806431
12;0;1;46;1;1;0;0;0;0;1;0;0;1;0;10,138362026726;0,931622473323458
12;1;1;34;3;1;0;1;0;0;0;0;0;1;0;9,8559882214331;0,901919169482072
12;0;1;49;2;1;1;0;0;0;0;0;0;1;0;9,89188200645473;0,869548578362219
12;1;1;42;4;1;0;1;0;0;0;0;0;1;0;10,2618111367703;0,932793483408315
12;1;1;71;2;1;0;1;0;0;0;0;1;0;0;9,50136684567835;0,948937575246542
12;1;1;73;2;1;0;1;0;0;0;0;0;1;0;10,0085680289866;0,982205250465795
12;0;1;59;2;0;0;0;0;1;0;0;1;0;0;10,2870023956042;0,756159846441599
12;0;1;69;3;1;0;0;0;0;1;0;1;0;0;9,22084060704985;0,940958296934728
12;1;1;49;3;1;0;1;0;0;0;0;0;1;0;10,3756139271628;0,948927567703983
12;0;1;81;1;0;0;0;0;1;0;1;0;0;0;9,87950218978562;0,677802818642555
12;1;1;49;1;1;0;1;0;0;0;0;0;1;0;8,98657162526805;0,945265481279103
12;0;0;36;2;0;0;0;0;0;1;0;1;0;0;8,96639869798215;0,634720565701442
12;1;1;48;3;1;0;1;0;0;0;0;1;0;0;9,73431253328047;0,867654214063073
12;1;1;46;4;1;0;1;0;0;0;0;0;1;0;9,10647632061248;0,943639457565438
12;0;1;56;2;1;1;0;0;0;0;0;0;1;0;9,61099392308713;0,90249024507635
12;1;1;55;3;1;0;1;0;0;0;0;0;1;0;9,92475968781167;0,960963130120214
12;1;1;74;2;1;1;0;0;0;0;0;1;0;0;9,42356825877234;0,940637005135558
12;1;1;75;3;1;0;1;0;0;0;0;1;0;0;9,68461611274459;0,958767172086981
12;1;1;56;2;1;0;1;0;0;0;0;0;1;0;10,288795303659;0,961348878760075
12;1;1;33;1;1;1;0;0;0;0;0;0;0;1;10,2437739346193;0,85889086951122
12;0;1;42;1;1;1;0;0;0;0;0;0;0;1;10,964242198648;0,823412929029797
12;1;1;33;2;1;1;0;0;0;0;0;0;1;0;9,9227671671046;0,862380706013828
12;1;1;46;1;1;0;0;0;0;1;0;1;0;0;10,0454210484248;0,90933471254064
12;1;1;46;5;1;0;1;0;0;0;0;1;0;0;9,13826878650203;0,86526324838596
12;0;1;56;2;1;0;0;1;0;0;0;1;0;0;9,38859812686777;0,756105795222962
12;0;1;71;1;1;0;0;0;1;0;0;1;0;0;9,90448705286921;0,839951253839898
12;0;1;48;1;1;1;0;0;0;0;0;0;0;1;9,97734192110661;0,860684348352035
12;0;0;52;1;1;1;0;0;0;0;0;0;1;0;9,80211905814784;0,797201056176785
