"group";"sex";"nationality";"age";"house_size";"A";"single";"married";"separated";"widowed";"divorced";"edu0";"edu1";"edu2";"edu3";"y";"p_score"
12;1;1;60;3;1;0;1;0;0;0;0;0;1;0;10,1492923863934;0,993910379808736
12;1;1;57;4;1;0;1;0;0;0;0;0;1;0;9,72768072871142;0,907095972495534
12;1;1;63;2;1;0;1;0;0;0;0;0;0;1;10,0797351446813;0,984858345684773
12;1;1;42;3;1;0;1;0;0;0;0;0;1;0;9,38069243095403;0,935902583570033
12;1;1;67;1;1;0;0;0;1;0;0;1;0;0;7,04315991598834;0,965089612095285
12;1;1;65;3;1;0;1;0;0;0;0;0;0;1;10,199416773576;0,973113238831462
12;1;1;76;2;1;0;1;0;0;0;0;1;0;0;9,85268536543039;0,90545148794122
12;1;1;77;2;1;0;1;0;0;0;0;1;0;0;9,52976332996984;0,953719519466408
12;1;1;70;2;1;0;1;0;0;0;0;0;1;0;9,28878179828274;0,993932464865101
12;1;1;71;2;1;0;1;0;0;0;0;0;0;1;10,1921191740235;0,975944713020349
12;1;1;45;2;1;0;1;0;0;0;0;1;0;0;7,8935720735049;0,889799365284485
12;0;1;41;2;1;0;0;0;1;0;0;0;0;1;10,30808048541;0,879549744427359
12;1;1;71;2;1;0;1;0;0;0;0;1;0;0;9,54031535637857;0,98960957507255
12;1;1;44;3;0;0;1;0;0;0;0;1;0;0;9,7092047443429;0,797890296530165
12;1;1;57;4;1;0;1;0;0;0;0;0;1;0;9,79053792561742;0,907095972495534
12;0;1;56;2;1;0;0;0;0;1;0;0;1;0;9,47965478732441;0,938887824154113
12;0;1;46;1;1;0;0;0;0;1;0;0;1;0;10,138362026726;0,943196891770995
12;1;1;34;3;1;0;1;0;0;0;0;0;1;0;9,8559882214331;0,831479767575696
12;0;1;49;2;1;1;0;0;0;0;0;0;1;0;9,89188200645473;0,90898852831147
12;1;1;42;4;1;0;1;0;0;0;0;0;1;0;10,2618111367703;0,906792660878688
12;1;1;71;2;1;0;1;0;0;0;0;1;0;0;9,50136684567835;0,98960957507255
