Method,RBPMean,RBPMedian,ARBPMean,ARBPMedian,RMSEMean,RMSEPMedian
E_OR,2.709023119,0.583815502,16.52619697,11.66704583,62.18748904,48.48740654
M_OR,5.827695347,0.002554629,17.94738696,10.68880181,32.46613289,24.6225106
R_OR,-1.446929503,-6.809286775,17.92141593,15.03606332,34.1712097,28.33453491
X_OR,3.103185208,-3.191709291,17.52391026,12.13864836,39.48675695,32.91648284
EE_NIPW,7.48296931,6.979374912,31.15988678,19.77896481,100.7713881,79.98269483
EM_NIPW,7.957836552,-2.05175592,18.93065024,12.50084034,33.70345116,25.94236019
ER_NIPW,-41.08541658,-44.60035735,41.55924428,44.60035735,47.60970933,48.05332998
EX_NIPW,6.492421037,-1.317806844,18.59768021,13.44889784,39.0264106,31.77931788
MM_NIPW,7.151849045,-3.039800737,18.90243456,11.9254225,33.57345421,25.93034693
ME_NIPW,6.103749921,5.640884225,30.97763267,20.49136154,100.604776,79.30500138
MR_NIPW,-42.0758539,-45.26748729,42.29696104,45.26748729,48.1773888,48.6992917
MX_NIPW,5.024640831,-2.917622275,18.49837485,14.88141287,38.55739846,32.15626188
RR_NIPW,-45.83066559,-48.97037468,45.83066559,48.97037468,51.23551484,52.1330718
RE_NIPW,0.203997727,0.761036972,30.76696209,19.93546454,100.1384795,76.66278543
RM_NIPW,3.592219781,-6.20007429,18.69437546,11.18091975,33.17856329,26.1368671
RX_NIPW,-0.415432339,-8.281692657,18.30395095,14.52269808,37.87720254,32.29346265
XX_NIPW,-0.726252004,-8.424631763,18.25454635,14.8717845,37.34075041,32.13238291
XE_NIPW,1.043887753,1.103454831,30.68881901,19.80591521,100.0961478,76.57270408
XM_NIPW,4.068522956,-5.576845793,18.6026917,11.10026297,33.16113883,26.0815553
XR_NIPW,-45.40566982,-48.43908806,45.40566982,48.43908806,50.83595657,51.58459819
EEM_AIPW,7.297152123,0.770133568,17.84027098,10.58642825,33.23991202,25.06538959
EER_AIPW,-41.68525877,-44.21932041,41.7732675,44.21932041,48.03233577,48.43730012
EEX_AIPW,5.848276632,0.340727543,17.20314742,12.49211563,38.36046428,31.38338703
EMM_AIPW,7.99891943,0.667435877,20.12617267,10.74824846,36.61717597,27.34190696
EMR_AIPW,-41.23520122,-44.8480505,41.97610368,44.8480505,50.17847595,50.10541699
EMX_AIPW,6.309142462,1.143446168,18.3837312,11.49195408,40.60525371,32.09784026
ERM_AIPW,8.17322262,1.125757223,19.48766066,10.28182884,36.36409173,26.6019795
ERR_AIPW,-38.20674219,-41.36721629,39.06071405,41.36721629,48.20884535,47.40968403
