"Method","RBPMean","RBPMedian","ARBPMean","ARBPMedian","RMSEMean","RMSEPMedian"
"E_OR",9.61420966037408,1.13129358999777,19.9604316196078,10.4043010299724,50.9134404444266,35.0252561433587
"M_OR",10.1231757334573,0.471073075963931,19.3711946910362,8.61668096817543,31.704082804881,20.5360925561183
"R_OR",6.11114216750101,-2.89971715877668,18.7941648633331,10.0648465559211,31.4135361389825,21.6171759377863
"X_OR",-71.0670603621567,-73.6517378480758,71.0670603621567,73.6517378480758,83.5142837057979,82.5192643823535
"EE_NIPW",11.8133454017269,5.12344149069302,26.8493341420177,15.0223547010072,89.7512591175013,66.6695937582103
"EM_NIPW",11.2978282836595,1.37372448641454,18.7868839432178,7.52020869501951,31.8301744870088,20.7173128236886
"ER_NIPW",-48.0849925986589,-52.5692940433747,50.0969533161982,52.5891506636523,56.6407775504159,56.5698268926249
"EX_NIPW",-42.0547217570176,-47.3339192835386,45.2162834016789,47.5162480909594,53.7723890898433,53.3032064759029
"MM_NIPW",10.7394474013539,1.01669271637761,18.5479787897585,7.15557428082121,31.6313264232722,20.7297617747795
"ME_NIPW",11.1160723074766,4.340668542554,26.6619664143373,15.2620536587131,89.6541635302294,67.057695935231
"MR_NIPW",-49.0876116402923,-52.966804916621,51.0498618417614,53.0866334905041,57.119397181756,56.8389208566343
"MX_NIPW",-42.5790477981615,-47.3563730975311,45.6908917707078,48.1209416337615,53.9453332330299,53.5209221360848
"RR_NIPW",-50.1081492260146,-53.8740087671959,51.9287365860619,54.1906268644796,57.9042762701859,58.0172782087856
"RE_NIPW",8.85840739856743,2.30471567865143,26.4446809623323,15.339980092894,89.4754739630805,67.1154406410979
"RM_NIPW",8.99291150808024,-0.684993817807651,18.2549596215564,7.61864294374195,31.2776185373609,20.8352177775197
"RX_NIPW",-42.8513892897579,-47.7516187170736,45.9157654978311,48.0488142799898,53.7932179829714,53.4593153407676
"XX_NIPW",-43.7182573007778,-48.6328928546693,46.5862295284646,48.6688017854663,54.2739331359659,53.9488868258692
"XE_NIPW",8.33881391473903,1.78770575753655,26.4462364592831,15.1751414141728,89.4448422649285,67.0681274894098
"XM_NIPW",8.56261527114124,-0.986389071110851,18.2121715596212,7.840310744822,31.2097689138794,20.9558190224712
