utmx	utmy	lon	lat	huc	eco	elev	anc	5huc
89.4515	519.263	-69.83241	46.77043	1010001	1	333	445	10100
94.6856	524.225	-69.10148	47.18163	1010001	5	260	535.1	10100
97.5486	524.653	-68.72129	47.19984	1010001	5	237	412.2	10100
95.2602	520.061	-69.06759	46.80504	1010002	1	475	627	10100
96.4721	521.893	-68.89099	46.96064	1010003	1	361	414.7	10100
96.4721	521.893	-68.89099	46.96064	1010003	1	361	419.3	10100
96.4721	521.893	-68.89099	46.96064	1010003	1	361	438	10100
96.7601	522.064	-68.85159	46.97394	1010003	1	549	356.7	10100
96.7601	522.064	-68.85159	46.97394	1010003	1	549	364.8	10100
96.7601	522.064	-68.85159	46.97394	1010003	1	549	391	10100
98.208	519.989	-68.68429	46.77794	1010003	1	335	473.8	10100
100.043	523.546	-68.40639	47.08244	1010003	5	171	421	10100
96.3189	515.358	-68.97659	46.37684	1010004	1	261	345.2	10100
95.7217	515.043	-69.05689	46.35274	1010004	1	365	344	10100
95.7217	515.043	-69.05689	46.35274	1010004	1	365	351.3	10100
95.5491	514.91	-69.08049	46.34204	1010004	1	548	359	10100
95.5491	514.91	-69.08049	46.34204	1010004	1	548	403.9	10100
96.9816	517.406	-68.87029	46.55554	1010004	1	284	345	10100
101.081	515.709	-68.35748	46.37405	1010004	5	247	621	10100
101.081	515.709	-68.35748	46.37405	1010004	5	247	696.2	10100
101.081	515.709	-68.35748	46.37405	1010004	5	247	701	10100
101.081	515.709	-68.35748	46.37405	1010004	5	247	793	10100
91.3347	512.447	-69.6472	46.14834	1020001	1	314	159.7	10200
91.3347	512.447	-69.6472	46.14834	1020001	1	314	173.7	10200
91.3347	512.447	-69.6472	46.14834	1020001	1	314	192	10200
94.937	508.234	-69.22249	45.74834	1020001	1	321	210.6	10200
94.937	508.234	-69.22249	45.74834	1020001	1	321	260	10200
87.5278	510.134	-70.15652	45.96284	1020001	1	454	107.1	10200
87.5278	510.134	-70.15652	45.96284	1020001	1	454	112.4	10200
93.3509	510.095	-69.4087	45.92514	1020001	1	326	116	10200
95.6696	511.523	-69.09759	46.03794	1020001	1	420	133	10200
97.0941	506.734	-68.96119	45.59975	1020001	5	146	96.3	10200
