"Method","RBPMean","RBPMedian","ARBPMean","ARBPMedian","RMSEMean","RMSEPMedian"
"E_OR",3.76892304353038,1.24398759767544,20.7649094113985,10.9036689530784,104.382272419131,51.667795709153
"M_OR",18.5309259612791,-2.41514331364114,31.413144654797,8.8760044247937,56.6657033333744,33.987986732631
"R_OR",15.5007989562168,-3.54807642749417,31.3411010304361,9.10761327833941,57.2327665447902,35.0846123330256
"X_OR",-105.816332976546,-104.780861623986,105.816332976546,104.780861623986,118.599623581939,112.10308193661
"EE_NIPW",1.40060569241488,6.6561063764657,32.5527859147147,19.2393816314052,139.476963263996,70.5887163117878
"EM_NIPW",18.2079307572558,-2.85238261409733,30.8242717237847,8.39563684141119,56.1901878526217,33.3826614721959
"ER_NIPW",-73.5579850837037,-78.1040929824289,73.5579850837037,78.1040929824289,78.4304523989203,79.4077610157044
"EX_NIPW",-69.9591358879839,-74.5038169228336,69.9591358879839,74.5038169228336,81.5201447761896,79.151700801625
"MM_NIPW",18.8167229359125,-2.31126910751595,31.049986653991,8.38230088963981,56.3553286130917,33.2973063501989
"ME_NIPW",1.11110907097272,6.2150303059593,32.1760056626301,18.8248436879471,139.353548592131,70.7064556418048
"MR_NIPW",-73.1958478835322,-78.0383699329461,73.1958478835322,78.0383699329461,78.4314192461136,79.3082414905776
"MX_NIPW",-68.8969066128722,-73.8312922647917,69.5018667317583,73.8312922647917,81.0767867183161,78.6909414161369
"RR_NIPW",-73.6533940700323,-78.2499195435002,73.6533940700323,78.2499195435002,78.7240924913324,79.4508854254034
"RE_NIPW",-0.298161326381707,5.16056446712588,32.0480584620982,17.663712053903,139.101078077341,71.1616790412658
"RM_NIPW",20.3689658519911,-0.901788103343251,31.3123418236204,6.90683661370622,56.4877227952917,33.1330394031377
"RX_NIPW",-69.8890959366968,-74.762958277425,69.984859482316,74.762958277425,81.4372018369182,79.0424820705304
"XX_NIPW",-70.7750948796959,-75.255056743149,70.7750948796959,75.255056743149,81.5227144580446,79.2735922894899
"XE_NIPW",-1.73566776851332,3.86542295106269,32.0368421476022,17.3143623645441,138.996027840787,71.628318932495
"XM_NIPW",21.0344833722039,-0.317856029896048,31.4713405239379,7.62370169023373,56.5177777723769,33.2427605762101
"XR_NIPW",-74.2244657118298,-78.4647724116453,74.2244657118298,78.4647724116453,79.1044363503622,79.8521599584247
"EEM_AIPW",18.7246630081842,0.13670847537685,31.6859278223232,8.03382896717688,56.4516497756636,33.5439363844033
"EER_AIPW",-72.5140317999485,-76.9399200371408,72.5140317999485,76.9399200371408,77.8412989086368,78.7175853987699
"EEX_AIPW",-69.6748613987159,-74.3194546534752,69.6748613987159,74.3194546534752,81.0331891241965,79.5794510058773
"EMM_AIPW",24.1494393462086,0.608572732333936,36.92914461542,9.27711563629249,64.1091577241087,33.7571476398682
"EMR_AIPW",-66.1545040884303,-76.4602234545486,77.0118767781179,76.7950360162588,85.9727601008797,78.6580231329806
"EMX_AIPW",-72.9910912289637,-83.1558395912795,77.903677310843,83.1558395912795,92.3188244209058,86.784638657803
"ERM_AIPW",25.5209332105125,3.1413831682994,36.5838832996859,10.2091708351757,62.7379416730908,33.9406156784696
"ERR_AIPW",-62.817709847975,-72.6144621861118,72.7393179807552,73.3800562053102,80.8979440842862,75.4796041805377
"ERX_AIPW",-70.2631245159717,-79.1778129264647,75.009594140035,79.1778129264647,87.3989208887059,83.5428446551598
"EXM_AIPW",27.8127006722465,5.07045545310898,37.686978914121,9.14168639920962,63.9392442451763,34.3272280042994
"EXR_AIPW",-64.3527838678377,-74.1293040047715,74.5379329069384,74.5332946574193,82.8603705536847,76.9498975962123
"EXX_AIPW",-69.880967280237,-78.7127295389213,74.7018607779078,78.7127295389213,88.4416472647615,83.3830688874843
"MEE_AIPW",1.24429511107471,6.89274224574288,32.7971877680004,16.0451155520764,139.683007460024,71.3857431053905
"MER_AIPW",-72.6955848249546,-77.1323243532228,72.6955848249546,77.1323243532228,77.8114938822215,78.3656417858298
"MEX_AIPW",-70.1612569819711,-74.9681341962427,70.1612569819711,74.9681341962427,80.8150482040461,79.5741997143489
"MME_AIPW",-7.05042926693791,6.86895606398513,38.4058905304186,16.8859786311081,156.436351897614,62.2215144142867
"MMR_AIPW",-71.7031656963439,-75.8209000542293,73.7340806496626,75.8209000542293,80.3164421750658,77.6361437651907
