Method,RBPMean,RBPMedian,ARBPMean,ARBPMedian,RMSEMean,RMSEPMedian
E_OR,7.925867968,-0.018704706,19.28107673,9.918709841,51.28130373,35.14279913
M_OR,8.838619789,-0.702584067,19.12780572,9.095089762,31.43266686,20.59934947
R_OR,5.704894501,-3.328163926,18.8403536,10.28342981,32.31433831,22.63973627
X_OR,8.360151347,-1.026585152,18.8703299,9.505500983,36.77678638,26.51179638
EE_NIPW,9.721892235,3.555264455,26.16948251,16.9840851,90.54589903,66.27377278
EM_NIPW,9.948323241,0.183421862,18.4317826,7.520253145,31.29712932,20.5631493
ER_NIPW,-41.98490579,-46.90959302,45.25338622,47.01297346,50.31840143,50.34527336
EX_NIPW,1.141368232,-7.320572008,19.27330322,12.33112443,37.77049632,29.47026114
MM_NIPW,9.3967301,-0.147235421,18.2588711,7.398394535,31.09974414,20.50305548
ME_NIPW,9.025734815,3.216486556,26.01208269,16.47815536,90.45953855,66.18379925
MR_NIPW,-42.44268134,-46.85768714,45.69704323,47.14198886,50.70310774,50.3749438
MX_NIPW,0.628376811,-7.453733314,19.31070762,11.7801731,37.60744244,29.41938448
RR_NIPW,-43.63171839,-47.97861575,46.64692171,48.15720344,51.59357921,51.30980926
RE_NIPW,6.505701983,0.79028864,25.9712136,15.21298182,90.30490798,65.86661847
RM_NIPW,7.436432967,-2.06149263,18.09088547,8.648084404,30.72137185,20.71620261
RX_NIPW,-1.211839159,-9.143168944,19.93762475,13.40854803,37.43062034,29.99672607
XX_NIPW,-0.509056702,-8.448752432,19.64772858,13.12270598,37.18032186,29.31174227
XE_NIPW,7.629018822,1.721070967,25.98200513,15.88863912,90.32450632,65.97566134
XM_NIPW,8.32514652,-1.402731454,18.14798484,7.848217241,30.86332292,20.57577298
XR_NIPW,-43.09430019,-47.53286588,46.20572099,47.97304049,51.15988785,51.05240161
EEM_AIPW,10.09536284,1.199109381,18.69983497,7.6991253,31.28036626,20.6965364
EER_AIPW,-41.75885405,-46.79700982,45.21045458,46.81030691,50.22062809,50.62938243
EEX_AIPW,1.289567223,-7.529128169,19.15106946,11.65985146,37.60303071,29.24925696
EMM_AIPW,10.1551102,1.82913514,19.55270616,9.667970371,32.78022568,22.61050304
EMR_AIPW,-41.76423967,-45.69039623,45.38409431,46.14997697,51.32155258,50.47069776
EMX_AIPW,1.50894963,-6.770698447,18.90809705,12.12768778,38.41919777,29.89732009
ERM_AIPW,9.711670239,2.108462214,19.23328364,9.123846164,32.47552444,22.44089142
ERR_AIPW,-38.44939465,-42.96490589,42.87175488,43.06485823,49.00388767,47.70945519
ERX_AIPW,1.6823005,-6.290337476,18.71709069,11.83784947,37.51756317,28.85389927
EXM_AIPW,9.878366041,1.598875502,19.34753123,9.488702587,32.58518686,22.23276053
EXR_AIPW,-39.83931224,-44.24540826,43.98565164,44.43033767,50.00680168,48.82396126
EXX_AIPW,1.457060079,-6.914575685,18.8613109,11.94250638,37.61809715,28.98508934
MEE_AIPW,9.787886778,3.706212423,26.07524132,15.66612713,90.45613951,66.2659394
MER_AIPW,-41.82324929,-47.08202711,45.24170923,47.10671052,50.22421241,50.6196749
MEX_AIPW,1.26909259,-7.662592392,19.14438868,12.02244101,37.58850446,29.24180615
